Date,Adj Close,Close,High,Low,Open,Volume
,SAP.DE,SAP.DE,SAP.DE,SAP.DE,SAP.DE,SAP.DE
2024-08-29,197.23727416992188,199.02000427246094,199.02000427246094,194.5800018310547,195.17999267578125,1098807
2024-08-30,195.9489288330078,197.72000122070312,198.4199981689453,196.89999389648438,197.4199981689453,1653279
2024-09-02,198.0697479248047,199.86000061035156,199.86000061035156,197.24000549316406,198.25999450683594,844698
2024-09-03,196.42462158203125,198.1999969482422,201.0500030517578,198.0399932861328,199.86000061035156,1387171
2024-09-04,191.84600830078125,193.5800018310547,195.8000030517578,192.74000549316406,194.27999877929688,1490229
2024-09-05,189.7251739501953,191.44000244140625,195.1199951171875,190.74000549316406,193.52000427246094,1066320
2024-09-06,189.01162719726562,190.72000122070312,193.6999969482422,190.0399932861328,190.82000732421875,1563474
2024-09-09,190.85496520996094,192.5800018310547,193.24000549316406,191.5399932861328,192.02000427246094,1242997
2024-09-10,190.81532287597656,192.5399932861328,194.9600067138672,192.0800018310547,194.74000549316406,1829506
2024-09-11,192.67848205566406,194.4199981689453,195.44000244140625,191.6199951171875,193.3800048828125,1677725
2024-09-12,197.39584350585938,199.17999267578125,199.67999267578125,197.3800048828125,198.0,1586240
2024-09-13,198.85267639160156,200.64999389648438,200.9499969482422,198.02000427246094,199.0,1655805
2024-09-16,198.35714721679688,200.14999389648438,203.64999389648438,198.0399932861328,198.67999267578125,1145884
2024-09-17,198.85267639160156,200.64999389648438,201.1999969482422,199.36000061035156,200.25,1320645
2024-09-18,197.79226684570312,199.5800018310547,200.75,198.39999389648438,200.35000610351562,1154885
2024-09-19,204.2538604736328,206.10000610351562,206.6999969482422,200.25,201.75,1749391
2024-09-20,202.66819763183594,204.5,206.39999389648438,203.60000610351562,205.3000030517578,2904866
2024-09-23,204.9971466064453,206.85000610351562,207.5,205.35000610351562,205.5500030517578,810622
2024-09-24,204.9971466064453,206.85000610351562,208.0500030517578,204.60000610351562,207.85000610351562,1014546
2024-09-25,199.9923858642578,201.8000030517578,202.4499969482422,198.0,199.0,1927510
2024-09-26,202.66819763183594,204.5,206.39999389648438,203.10000610351562,205.8000030517578,1454845
2024-09-27,203.85743713378906,205.6999969482422,205.6999969482422,201.0,203.8000030517578,1830530
2024-09-30,202.56907653808594,204.39999389648438,207.0500030517578,204.39999389648438,204.5500030517578,1774113
2024-10-01,202.46998596191406,204.3000030517578,208.64999389648438,203.64999389648438,206.9499969482422,1474402
2024-10-02,201.92491149902344,203.75,204.75,201.1999969482422,204.25,820111
2024-10-03,199.0013427734375,200.8000030517578,202.1999969482422,199.1199951171875,199.4199981689453,1394256
2024-10-04,198.9022216796875,200.6999969482422,201.8000030517578,198.52000427246094,199.60000610351562,1192147
2024-10-07,198.5058135986328,200.3000030517578,201.14999389648438,199.63999938964844,200.64999389648438,959990
2024-10-08,203.16371154785156,205.0,205.0,200.0500030517578,200.89999389648438,1192951
2024-10-09,205.98818969726562,207.85000610351562,208.0,204.39999389648438,205.64999389648438,1030514
2024-10-10,204.20431518554688,206.0500030517578,208.25,204.5,207.8000030517578,1140645
2024-10-11,206.73147583007812,208.60000610351562,208.60000610351562,205.3000030517578,205.75,1282328
2024-10-14,209.65504455566406,211.5500030517578,211.89999389648438,208.6999969482422,209.0,872373
2024-10-15,207.92071533203125,209.8000030517578,214.5500030517578,208.9499969482422,213.60000610351562,1922303
2024-10-16,208.76309204101562,210.64999389648438,213.10000610351562,210.25,211.5,1556440
2024-10-17,209.70460510253906,211.60000610351562,212.75,210.1999969482422,210.9499969482422,1139463
2024-10-18,210.9434051513672,212.85000610351562,213.25,209.89999389648438,210.6999969482422,1221882
2024-10-21,208.86221313476562,210.75,214.0500030517578,210.75,213.0,0
2024-10-22,213.3218994140625,215.25,223.1999969482422,215.25,221.64999389648438,2857814
